x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0032803	0.318210812061247	0.0324589646464646	24	8	74.8339155456388	123.788536662669	231.679800929772	256.781970465193	184.889156161997	100.083762640878	108.81894300131	123.521579229822	295.71587427304	161.038872493957	205.981640289215	115.963776585311	108.521693088131
FBgn0011818	0.318210812061247	0.0324589646464646	20	12	73.1437383047812	1001.87731541936	1011.78913062299	1266.17162410304	1173.2057363734	1068.16670309446	1063.2517555753	1069.76486966011	1082.94584674052	1195.24306013372	1099.9844295857	1007.32713392016	1071.36309772113
FBgn0034660	0.318210812061247	0.0324589646464646	24	12	72.3473652290191	141.142069839679	208.149821147842	216.237448812794	342.885344154976	262.03748764157	111.086004313838	118.988677239737	194.788954725927	243.649722669428	243.143276423867	237.119961077427	123.530012345001
FBgn0033918	0.318210812061247	0.0324589646464646	20	18	70.5187388558368	989.151391089555	1024.45911973634	871.707215526576	1072.35710573958	1170.07017051062	971.435772417947	956.442319907983	932.56473661532	959.958993178262	1287.9161323238	1093.00186438244	985.931126566641
FBgn0034261	0.318210812061247	0.0324589646464646	24	2	68.6730632787825	3245.11070410082	3028.12739808991	2997.76056967424	2934.69515144406	2858.75620197852	2955.11442087933	3284.08749181675	2900.63966778402	2970.85348542423	2845.51956688194	2930.2488620736	2990.11899040702
FBgn0050291	0.318210812061247	0.0324589646464646	28	16	68.2410395057749	725.377686799007	714.949385681719	830.318016339752	779.896076901514	880.737111239723	902.290402385864	763.793985329361	682.265976138481	735.13199586527	701.824042428717	843.766284855806	843.929336674724
FBgn0003285	0.318210812061247	0.0324589646464646	24	8	67.0561035232424	263.773704290548	378.289674955644	410.513281730539	317.112916326334	282.96409255739	303.786215878658	269.707668410071	363.336910369605	379.59162802147	274.996107396426	246.639375573236	249.368996883366
FBgn0030321	0.318210812061247	0.0324589646464646	28	10	66.5091539460029	1315.39781481734	1317.67886778808	1380.20309125041	1492.55973338048	1382.9756292194	1148.26655479508	1289.61061617925	1236.35476445213	1463.98974994506	1548.04758526637	1532.62573382526	1289.56096999407
FBgn0027507	0.318210812061247	0.0324589646464646	28	18	65.2655259815321	876.931876544892	848.889270594244	987.428037742798	942.374426255996	1027.22334565046	1049.64938770014	985.906182843537	794.294856835776	913.947886751417	944.967318852584	983.96129833954	1097.91627794482
FBgn0035379	0.318210812061247	0.0324589646464646	24	4	64.2923255018483	305.422183915371	254.30478148932	267.762778412718	163.598889694858	132.838448596074	233.507315190312	256.108962439815	275.530490363617	214.369927670527	161.387676927632	154.906835886348	258.604885656824
FBgn0036094	0.318210812061247	0.0324589646464646	24	20	64.2619233030493	290.382455161963	257.924778378848	300.705202255292	290.219948157316	332.096121490185	463.614038411832	274.240570400156	241.215337717599	207.049978920802	299.416611142055	390.295994328173	492.96556328332
FBgn0037672	0.318210812061247	0.0324589646464646	24	12	63.6889540192014	141.142069839679	197.289830479259	168.935506884995	292.461028838068	216.544868259353	174.563721064602	157.518344155462	251.30802967231	303.255019631477	351.442901730568	216.350329450207	124.684498441683
FBgn0036571	0.318210812061247	0.0324589646464646	24	22	61.5340135506337	767.02616642383	698.659399678844	604.789114648283	608.453404824026	682.389290733257	674.450740476871	787.591720777308	640.885939124165	600.235797477475	657.230079067134	714.821488503483	710.008949459583
FBgn0011576	0.318210812061247	0.0324589646464646	24	12	59.5797126887446	845.695516826274	994.594145397733	922.387867592074	1047.70521825132	997.198216858199	940.830444698828	885.04911356414	931.555467419849	1040.47842942524	1062.82279345105	904.344377101864	876.254947381827
FBgn0038959	0.318210812061247	0.0324589646464646	24	8	57.6597497225323	202.457887065114	355.664694396096	478.932162018962	300.304811220698	299.341435534989	286.783256034703	227.778325001783	367.37398715149	372.271679271744	339.763530373963	313.275277043899	289.776010267244
