x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0040348	0.451877853755579	0.0324589646464646	24	10	98.3389744923595	912.502241099366	1064.19842539193	1121.87274711796	1038.89536571981	1049.79540766769	924.474025551599	973.589144175506	1051.19925940039	1052.70043194412	1217.14168512553	957.758818125602	876.504778480456
FBgn0034401	0.451877853755579	0.0324589646464646	28	22	98.0899046259844	858.008547544251	711.887001286069	658.399591336194	813.990509983049	843.205601935788	906.417892240045	902.630878576434	664.939882408239	658.692162166507	800.238171982002	790.747493968469	830.085522299248
FBgn0032753	0.451877853755579	0.0324589646464646	24	14	94.0577709087207	366.496801753024	413.148706103522	375.630770660675	666.461178008935	466.378703068585	363.831086227827	346.443296748412	453.88038198282	445.738020733094	735.266195907685	515.803681410467	314.012615343465
FBgn0036501	0.451877853755579	0.0324589646464646	24	2	92.8984862600689	1327.08171363631	1300.28340030823	1304.25027051223	999.691767013402	1060.43522598865	1069.82589870961	1396.20822605233	1435.40951502919	1215.64914745389	1195.48435976743	1198.61868697807	1307.93080651756
FBgn0037770	0.451877853755579	0.0324589646464646	24	12	91.206441525613	269.262956389977	339.599156225752	597.328218823434	418.859501968464	428.252687418492	391.818092860736	353.747824089493	418.020758124132	587.994835860678	495.952750700618	427.185427776069	369.533686462165
FBgn0027548	0.451877853755579	0.0324589646464646	24	12	88.7334535535265	972.338453630471	1132.29986046394	1074.18688090937	1220.46992814949	1238.65218286466	1128.50833197217	1060.19996836261	1127.01674984447	1265.65457337753	1274.53359732451	1187.25737240955	1126.80468926148
FBgn0014075	0.451877853755579	0.0324589646464646	24	18	88.0922802165953	1991.69107424967	1935.89679431365	1750.15494926978	2078.82240508979	2090.72430006792	1996.10553759237	1955.52631959796	1867.77412269679	1935.55484825106	1987.05960160619	2081.39282895149	1939.59676317949
FBgn0263118	0.451877853755579	0.0324589646464646	24	10	86.9832644730975	241.48185771482	383.184074671838	509.48583370234	400.289376265428	337.814231690363	352.094599575316	243.136410067409	396.504983808919	474.189383758611	357.345868408742	293.121915867622	349.509693599683
FBgn0025743	0.451877853755579	0.0324589646464646	28	8	82.8417641600456	1313.19116429874	1470.9909975554	1573.63358488358	1430.93135278389	1397.36280615226	1388.51665165855	1346.12003857064	1476.39194229626	1552.75469118047	1471.61525808328	1422.43658397776	1402.58968186748
FBgn0037818	0.451877853755579	0.0324589646464646	24	22	82.829866697388	398.551915608973	181.603826858691	180.704335106249	302.280379499409	213.683017945873	310.56549295874	389.226956889029	209.010379062066	173.294665700874	193.833061955045	245.40439467987	312.192252355967
FBgn0030662	0.451877853755579	0.0324589646464646	28	26	82.1851620795477	716.966046578073	678.290293317211	408.257942277081	563.293812992072	612.676204981734	662.660092534057	699.147616932036	679.283731951714	618.170523918044	559.84186050703	653.275587689468	599.809604380706
FBgn0038959	0.451877853755579	0.0324589646464646	24	10	80.8165783346923	193.399186930896	319.622735271296	439.211925605466	298.153684898734	287.27509466582	266.327966345431	206.613773362005	377.03833085706	404.354219968707	345.434339461784	284.032864212812	285.796989037241
FBgn0261270	0.451877853755579	0.0324589646464646	20	12	78.8901340536398	364.359794162627	431.309088789391	577.249959367184	556.072097440892	525.784355360591	455.014559451178	437.228136558989	566.582056967267	531.092109809644	492.704151896902	443.091268171987	462.372198824581
FBgn0033289	0.451877853755579	0.0324589646464646	24	10	78.2980004903073	98.3023491582455	186.143922530158	179.867740962238	389.972639763742	181.763562983004	82.1554065675738	91.8283437164465	181.347240656792	211.229816401563	410.406315536101	168.147455613985	72.814519499934
